Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Republic of Korea,Western Pacific,99075,193.24,3058,5.96,415,1697,3.31,22,0.04,1,Clusters of cases
Latvia,Europe,97409,5164.3,3618,191.81,260,1826,96.81,59,3.13,5,Community transmission
Estonia,Europe,96394,7266.6,10308,777.06,993,797,60.08,69,5.2,10,Clusters of cases
Sri Lanka,South-East Asia,90200,421.23,2293,10.71,354,546,2.55,19,0.09,2,Clusters of cases
Ghana,Africa,89683,288.62,1921,6.18,407,725,2.33,40,0.13,9,Community transmission
Kyrgyzstan,Europe,87462,1340.58,545,8.35,73,1490,22.84,7,0.11,0,Clusters of cases
Zambia,Africa,86449,470.24,1652,8.99,176,1179,6.41,21,0.11,1,Community transmission
Montenegro,Europe,85763,13655.09,1077,171.48,0,1169,186.13,33,5.25,0,Clusters of cases
Norway,Europe,84553,1559.66,6513,120.14,0,648,11.95,9,0.17,0,Community transmission
Kosovo[1],Europe,82142,4415.33,4932,265.11,793,1750,94.07,58,3.12,8,Community transmission
Uzbekistan,Europe,81446,243.35,768,2.29,107,622,1.86,0,0,0,Clusters of cases
Uruguay,Americas,79923,2300.78,9790,281.83,1522,776,22.34,78,2.25,16,Community transmission
Finland,Europe,71643,1293.03,4774,86.16,520,805,14.53,19,0.34,0,Community transmission
Cuba,Americas,66758,589.39,5286,46.67,796,394,3.48,24,0.21,2,Community transmission
Mozambique,Africa,66212,211.84,1696,5.43,413,746,2.39,21,0.07,6,Community transmission
El Salvador,Americas,63344,976.6,1258,19.4,813,1979,30.51,29,0.45,4,Community transmission
Singapore,Western Pacific,60196,1028.93,91,1.56,12,30,0.51,0,0,0,Sporadic cases
Luxembourg,Europe,59416,9491.71,1539,245.86,206,718,114.7,29,4.63,3,Community transmission
Afghanistan,Eastern Mediterranean,56153,144.25,168,0.43,50,2464,6.33,5,0.01,1,Clusters of cases
Namibia,Africa,42477,1671.73,1277,50.26,274,492,19.36,34,1.34,0,Community transmission
Cyprus,Europe,42218,3496.72,2567,212.61,336,243,20.13,3,0.25,1,Clusters of cases
Uganda,Africa,40671,88.92,90,0.2,20,339,0.74,5,0.01,5,Community transmission
Côte d’Ivoire,Africa,40310,152.82,2657,10.07,397,220,0.83,9,0.03,3,Community transmission
Cameroon,Africa,38988,146.87,0,0,0,588,2.22,0,0,0,Community transmission
Senegal,Africa,37833,225.95,941,5.62,140,1013,6.05,50,0.3,6,Community transmission
Zimbabwe,Africa,36665,246.69,181,1.22,3,1512,10.17,9,0.06,2,Community transmission
Botswana,Africa,35493,1509.3,1395,59.32,0,458,19.48,34,1.45,0,Community transmission
Jamaica,Americas,35338,1193.38,4839,163.42,673,533,18,48,1.62,9,Community transmission
Malawi,Africa,33237,173.74,406,2.12,21,1096,5.73,13,0.07,3,Community transmission
Sudan,Eastern Mediterranean,31147,71.03,201,0.46,0,1986,4.53,33,0.08,0,Community transmission
Australia,Western Pacific,29196,114.49,79,0.31,4,909,3.56,0,0,0,Clusters of cases
Malta,Europe,28128,6370.39,1593,360.78,224,372,84.25,21,4.76,3,Clusters of cases
Thailand,South-East Asia,27876,39.94,871,1.25,73,91,0.13,4,0.01,1,Clusters of cases
Democratic Republic of the Congo,Africa,27552,30.76,539,0.6,85,726,0.81,9,0.01,0,Community transmission
Maldives,South-East Asia,22513,4164.88,941,174.08,140,66,12.21,2,0.37,1,Clusters of cases
Madagascar,Africa,22484,81.2,1128,4.07,371,351,1.27,25,0.09,11,Community transmission
Angola,Africa,21733,66.13,353,1.07,37,527,1.6,6,0.02,1,Community transmission
Rwanda,Africa,20828,160.81,685,5.29,67,290,2.24,14,0.11,3,Community transmission
Mayotte,Africa,19006,6966.63,161,59.01,0,151,55.35,14,5.13,0,Community transmission
Guinea,Africa,18877,143.74,1026,7.81,315,111,0.85,8,0.06,3,Community transmission
French Polynesia,Western Pacific,18576,6612.84,49,17.44,0,141,50.19,0,0,0,Sporadic cases
Gabon,Africa,17711,795.74,1051,47.22,414,106,4.76,10,0.45,1,Community transmission
Mauritania,Africa,17601,378.54,163,3.51,14,446,9.59,2,0.04,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,17411,99.49,933,5.33,171,1163,6.65,64,0.37,10,Community transmission
Eswatini,Africa,17286,1489.96,49,4.22,3,668,57.58,7,0.6,3,Community transmission
French Guiana,Americas,16764,5612.66,0,0,0,87,29.13,0,0,0,Community transmission
Cabo Verde,Africa,16491,2966.08,456,82.02,51,159,28.6,3,0.54,0,Community transmission
Réunion,Africa,14631,1634.18,830,92.71,0,87,9.72,16,1.79,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12714,111.5,82,0.72,0,251,2.2,1,0.01,0,Community transmission
Burkina Faso,Africa,12535,59.97,163,0.78,19,145,0.69,1,0,0,Community transmission
Belize,Americas,12400,3118.49,30,7.54,0,316,79.47,0,0,0,Community transmission
Andorra,Europe,11517,14905.84,251,324.86,36,113,146.25,0,0,0,Community transmission
Guadeloupe,Americas,11095,2772.89,370,92.47,0,169,42.24,1,0.25,0,Community transmission
Lesotho,Africa,10535,491.77,5,0.23,0,309,14.42,0,0,0,Community transmission
Somalia,Eastern Mediterranean,10085,63.45,895,5.63,117,429,2.7,62,0.39,10,Community transmission
South Sudan,Africa,9879,88.25,389,3.48,30,106,0.95,2,0.02,0,Community transmission
Guyana,Americas,9585,1218.61,464,58.99,99,214,27.21,8,1.02,2,Clusters of cases
Congo,Africa,9564,173.32,235,4.26,0,134,2.43,3,0.05,0,Community transmission
Mali,Africa,9330,46.07,468,2.31,60,368,1.82,8,0.04,1,Community transmission
Suriname,Americas,9061,1544.58,39,6.65,6,176,30,0,0,0,Clusters of cases
Togo,Africa,8918,107.72,869,10.5,79,104,1.26,11,0.13,2,Community transmission
Bahamas,Americas,8884,2259.16,135,34.33,45,186,47.3,0,0,0,Clusters of cases
Aruba,Americas,8624,8077.48,352,329.69,0,81,75.87,4,3.75,0,Community transmission
Trinidad and Tobago,Americas,7839,560.13,70,5,18,140,10,0,0,0,Community transmission
Guam,Western Pacific,7570,4485.26,12,7.11,0,134,79.4,1,0.59,0,Clusters of cases
Martinique,Americas,7264,1935.7,227,60.49,0,47,12.52,0,0,0,Community transmission
Benin,Africa,6818,56.24,317,2.61,0,90,0.74,9,0.07,0,Community transmission
Equatorial Guinea,Africa,6780,483.26,218,15.54,44,101,7.2,3,0.21,1,Community transmission
Djibouti,Eastern Mediterranean,6588,666.8,320,32.39,70,64,6.48,1,0.1,1,Community transmission
Iceland,Europe,6119,1793.15,36,10.55,22,29,8.5,0,0,0,Community transmission
Curaçao,Americas,5520,3363.95,605,368.69,0,23,14.02,1,0.61,0,Community transmission
Gambia,Africa,5255,217.45,236,9.77,0,161,6.66,8,0.33,0,Community transmission
Nicaragua,Americas,5251,79.27,35,0.53,0,176,2.66,1,0.02,0,Community transmission
Central African Republic,Africa,5087,105.33,66,1.37,0,64,1.33,1,0.02,0,Community transmission
Mongolia,Western Pacific,4976,151.79,1015,30.96,170,5,0.15,1,0.03,0,Clusters of cases
Niger,Africa,4918,20.32,58,0.24,0,185,0.76,3,0.01,0,Community transmission
Chad,Africa,4420,26.91,111,0.68,10,157,0.96,3,0.02,0,Community transmission
San Marino,Europe,4356,12835.17,230,677.71,0,79,232.78,2,5.89,0,Community transmission
Gibraltar,Europe,4270,12674.01,7,20.78,0,94,279.01,0,0,0,Clusters of cases
Saint Lucia,Americas,4113,2239.87,82,44.66,0,55,29.95,4,2.18,0,Community transmission
Sierra Leone,Africa,3948,49.49,11,0.14,0,79,0.99,0,0,0,Community transmission
Seychelles,Africa,3770,3833.37,538,547.04,154,16,16.27,1,1.02,0,Community transmission
Comoros,Africa,3666,421.57,43,4.94,1,146,16.79,0,0,0,Community transmission
Papua New Guinea,Western Pacific,3574,39.95,1305,14.59,215,36,0.4,10,0.11,0,Community transmission
Guinea-Bissau,Africa,3568,181.3,121,6.15,10,55,2.79,3,0.15,0,Community transmission
Barbados,Americas,3551,1235.67,147,51.15,39,39,13.57,2,0.7,0,Community transmission
Yemen,Eastern Mediterranean,3422,11.47,582,1.95,140,752,2.52,62,0.21,14,Community transmission
Jersey,Europe,3224,2963.24,2,1.84,0,69,63.42,0,0,0,Community transmission
Eritrea,Africa,3118,87.92,80,2.26,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2814,2694.76,47,45.01,0,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2704,7090.23,12,31.47,0,54,141.59,0,0,0,Sporadic cases
Burundi,Africa,2618,22.02,157,1.32,5,6,0.05,3,0.03,0,Community transmission
Viet Nam,Western Pacific,2572,2.64,18,0.02,0,35,0.04,0,0,0,Clusters of cases
Turks and Caicos Islands,Americas,2294,5924.89,61,157.55,4,16,41.32,1,2.58,1,Clusters of cases
Monaco,Europe,2173,5537.15,66,168.18,0,27,68.8,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2145,978.74,67,30.57,3,34,15.51,2,0.91,0,Community transmission
New Zealand,Western Pacific,2106,43.67,32,0.66,9,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2093,4880.84,15,34.98,0,27,62.96,0,0,0,Community transmission
Liberia,Africa,2042,40.37,12,0.24,0,85,1.68,0,0,0,Community transmission
Cambodia,Western Pacific,1753,10.49,428,2.56,73,3,0.02,2,0.01,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,1696,1528.75,16,14.42,2,9,8.11,0,0,0,Community transmission
Saint Martin,Americas,1633,4224.11,21,54.32,0,12,31.04,0,0,0,Community transmission
Isle of Man,Europe,1462,1719.35,370,435.13,30,26,30.58,1,1.18,0,No cases
Antigua and Barbuda,Americas,1033,1054.85,70,71.48,0,28,28.59,1,1.02,0,Clusters of cases
Bonaire,Americas,919,4393.98,286,1367.44,0,6,28.69,0,0,0,Community transmission
Bhutan,South-East Asia,869,112.62,1,0.13,1,1,0.13,0,0,0,No cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Mauritius,Africa,812,63.85,121,9.51,0,10,0.79,0,0,0,Clusters of cases
Bermuda,Americas,789,1267,54,86.71,22,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,776,7850.28,51,515.93,0,1,10.12,0,0,0,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,1352.71,0,0,0,1,2.05,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,475,722.76,7,10.65,0,2,3.04,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,317,2818.78,130,1155.97,6,1,8.89,1,8.89,0,Sporadic cases
Timor-Leste,South-East Asia,271,20.55,75,5.69,0,0,0,0,0,0,Clusters of cases
Brunei Darussalam,Western Pacific,206,47.09,7,1.6,1,3,0.69,0,0,0,Clusters of cases
Dominica,Americas,157,218.08,1,1.39,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,157,272.77,3,5.21,0,2,3.47,0,0,0,Pending
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,154,136.86,3,2.67,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,116,40.63,23,8.06,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,67,7.47,1,0.11,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,49,0.67,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,1,1.88,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,22,146.65,1,6.67,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
